"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"062","FLORIDA","LAAE TARPON","PINELLAS","1250","NATURAL","155.4","10.25","2.5","1.57","189","10","1583","2.5","0.041","0.027","0.07","0.72","705",NA,"5","3935","4655","2110",NA,"245","108465","110820","1830","61","0.45","38520","65","10.8"
"064","FLORIDA","TROUT LAKE","LAKE","1242","NATURAL","62.6","0.41","1.5","0.53","13","33","109","0.7","1.11","0.97","0.65","2.86","6895",NA,NA,"11015","17910","23260",NA,"45","36485","59790","17910","0","63.68","59790","0","145.8"
"066","FLORIDA",NA,"LAKE","1246","NATURAL",NA,"15.95","3.7",NA,"1.5","108","295","1.5","0.027","0.014","0.16","1.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"067","GEORGIA",NA,"BARTON CHEROKEE c088",NA,NA,"2845","48",NA,"9.4",NA,"17","46",NA,NA,"0.02","0.005","0.15","26595",NA,"0","72755","99410",NA,"53115",NA,"2200","982730","35180","65","2.07","1078825",NA,"21.6"
"068","GEORGIA",NA,"CRISP DOOLY LEE SUMTER HORTH","1302",NA,"9712.5","34.46","5.3","136.2","16","19","58","0.8","0.035","0.014","0.25","0.69","34065",NA,"140","302875","337030","73175",NA,"5185",NA,"5152140","202050","40","9.73","2262705","57","151.6"
"070","GEORGIA","BURTON LAKE","RABUN","1318",NA,"297.9","11.23","11.9","9.6","161","10","18","3.4","0.007","0.003","0.1","0.27",NA,NA,"215","4240","4455",NA,NA,"8120","158500","166620","2005","55","0.4","108855","35","14.8"
"071","GEORGIA","CMATUGE LAKE","TORNS GA; CLAY NC","1303",NA,NA,"489.5","28.94","10.6",NA,NA,NA,"10","230",NA,"3",NA,NA,NA,NA,"70","10790","1375",NA,"2665","260505","264545","8000","29",NA,"188910","29","9.1"
"072","GEORGIA","CLARK HILL RESERVOIR",NA,"1304",NA,"15893.2","283.29","10.9","264.42","136","18","50","1.5","0.024","0.007","0.15","0.43","90520",NA,"75","360005","450600","347585",NA,"2905","5541700","5892190","171255","62","1.59","7196700",NA,"20.8"
"074","GEORGIA","LAKE HARDING","HARRIS GA CHAMBERSo LEE AL","1317",NA,"10902","23.07","9.4","105","14","17","59","0","0.114","0.045","0.04","0","31190",NA,"325","1350075","1390390","75",NA,"12170","923005","7022050","40575","53","50.74","20005","14","290.7"
"075","GEORGIA",NA,"","1319",NA,"533.3","2.43","3.7","7.5","14","34","30","1",NA,"0.009","0.115","0.33","12495",NA,"5","7105","19605","21465",NA,"130","173230","194375","14915","24","3.07","139415","3","30.2"
"076","GEORGIA","JACKSON LAKE","BUTTS JASPER NERTON","1309",NA,"3327.1","19.22","3.9",NA,"31","22","70","1","0.094","0.027","0.53","0.93","423005",NA,"415","215050","341370","953010",NA,"15530","1339515","2353105","237520","33","33.33","1533230","33","122.7"
"077","GEORGIA","NOTTELY RES","UNION",NA,NA,"557","17.36","13.1","11.4","231",NA,"110",NA,"27","2.4","15",NA,"555",NA,"35","12470","13060","1670",NA,"1290",NA,"297845","8000","39","0.75","297710","0",NA
"078","GEORGIA","SIDNEY LANIER LAKE","DAHSON FORSYTH GRINNETT HALL LUMPKIN","1310",NA,"2663.3","161.47","19.5","60.4","1.6",NA,"35","2.6","0.016","0.004","0.13","0.46","73100",NA,"410","30125","153635","229325",NA,"15275","1479735","1724335","16330","39","0.93","1335530","20","10.7"
"079","GEORGIA",NA,"8ALDMINMANCOCK PUTNAM",NA,NA,"7510.9","82.17",NA,"89.3","53",NA,"23","82","1.5",NA,NA,"0.005","13285",NA,NA,NA,NA,"21910",NA,"13535","2510005","2545450","175555","31","4.12","2898035",NA,"40.9"
"081","ILLINOIS",NA,"MCLEAN","1703",NA,NA,"1.97",NA,NA,NA,"163",NA,NA,NA,NA,NA,NA,"170",NA,NA,"-30","4070","490",NA,NA,"1135","341255","2935","31","2.17","376795",NA,"174.1"
"083","ILLINOIS","CEDAR","LAKE II  I I ”","1759","NATURAL",NA,"1.15","1.2",NA,NA,"142",NA,NA,NA,"0.013",NA,"1.18","190",NA,"15",NA,NA,NA,NA,NA,"555","1240",NA,NA,"0.2",NA,NA,"1"
"084","ILLINOIS","LAKE CHARLESTON","COLES",NA,NA,"2035.7","1.45","0.9","14.5","1","203","578","0.2","0.16","0.065","4.68","5.49","10430",NA,NA,"65715","76145","30365",NA,"65","3424695","3455125","78115",NA,"52.51","2882870","17",NA
"085","ILLINOIS",NA,"","1711",NA,NA,NA,NA,"5.6",NA,"76",NA,NA,"1.1",NA,"0.012","0.26",NA,NA,NA,"85","125","275",NA,NA,NA,NA,NA,"699","0.03",NA,NA,NA
"086","ILLINOIS","CRAB ORCHARD LAKE","JACKSON MILLIAMSON","1712",NA,"520.6","28.19","3","3.4","288","53","265","0.5","0.082","0.013","0.2","0.91","20880",NA,"15","58460","79355",NA,"62600",NA,"570","303900",NA,"16160","80","164625","55","13"
"087","ILLINOIS","LAKE DECATUR","MACON",NA,NA,"2429.4",NA,"11.35","1.9",NA,"210","-530",NA,NA,NA,NA,"0.062",NA,NA,NA,NA,"95455","10010",NA,NA,"2711550","2721960","3242030",NA,"239.8",NA,NA,NA
"088","ILLINOIS","DEPUE LAKE","BUREAU","1752","NATURAL",NA,"2.12","1.2",NA,NA,"260",NA,"675",NA,"0.3","0.438","0.276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99599",NA,NA,"60969",NA
"089","ILLINOIS","EAST LOON LAKE","LAKE","1757","NATURAL","25.9",NA,NA,NA,NA,NA,NA,"465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"090","ILLINOIS","FDA LAKE","LAKE","1755","NATURAL","3120.9","6.76","2.4","22.5","23","202",NA,"510","0.4",NA,"0.083","0.375","21300","415","640","142555","164990","58045","5750","24055","2049180","2137030","153275","7",NA,"1995175","7",NA
"091","ILLINOIS","GRASS LAKE","LAKE °°°°* FUH TRIP AND LOADING OATASEE FOX LAKE (1755","1756","NATURAL",NA,"5.5","1.1",NA,"0","240","560","0.5","0.301","0.093","0.82","2.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA
"092","ILLINOIS","LAKE MARIE","LAKE #9999 FOR TRIR AND LOADING DATA SEE FOX LAKE (1755","177","NATURAL",NA,"1.34","1.4",NA,NA,"201","496","0.8","0.098","0.057","0.37","1.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"094","ILLINOIS","HIGHLAND SILVER LAKE","MADISON","1740",NA,"122","2.99",NA,"0.77","189","62","197",NA,"0.3","0.226","0.057","0.97","85",NA,NA,"9010","9095",NA,NA,"40","64065","64570","7075","22","3.04","60485","6","21.6"
"095","ILLINOIS","HOLIDAYILAKE","LASALLE","1754",NA,NA,NA,"-2.7","1","38","219",NA,"615",NA,NA,NA,NA,"2360",NA,NA,NA,"2515","7075",NA,NA,"236760",NA,NA,NA,"35","212665","13","201.5"
"096","ILLINOIS","HORSESHOE LAKE",NA,"1766","NATURAL","83.1","8.78","2.1","0.5","420","70","560",NA,"0.4",NA,"0.018",NA,NA,NA,"25",NA,"4485",NA,NA,"875","30290",NA,NA,"3740","17","82785",NA,"3.5"
"097","ILLINOIS","LONG LAKE","LAKE","1725","NATURAL","99.7","1.03",NA,"5600","3290",NA,"582","0.4",NA,"0.398","1.19","2.25",NA,"20","60","3105","24370","51525","15","2185","64530","118255","9195","62","23.66","64845","45","114.8"
"098","ILLINOIS","LAKE LOU YAEGER","MONTGOMERY","1726",NA,"279.7","5.72","3.3","1.8","121",NA,"199","0.3","0.186","0.076","1.6","2.265","985",NA,NA,"17050","18035",NA,"2960",NA,NA,"263670","16025","11","3.15","173835","35","46.6"
"099","ILLINOIS",NA,"","1765",NA,NA,NA,NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,"1925",NA,NA,"10","5135",NA,NA,"465",NA,NA,NA,NA,NA,NA,NA
"100","ILLINOIS","RACCOON LAKE","HARION","1762",NA,"125.9","3.93","1.2","0","72","61","270","0.4","0.106","0.02","0.31","1.29","5",NA,"30","4465","4500","305",NA,"1110","75405","76020","3270","29","1.17","43970","43","19.5"
"101","ILLINOIS","REND LAKE","FRANKLIN JEFFERSON","1735",NA,"1300.2","76.49","4.7","9.2","1.2","70","290","0.7","0.071","0.012","0.21","1.2","15130",NA,NA,"59360","74490","23845",NA,NA,"731505","755350","37545","50","0.97","433690","43","9.9"
"102","ILLINOIS","SANGCHRIS LAKE","CHRISTIAN","1753",NA,"133.3","10.93","4","1.2","1.2","91","397","0.3","0.05","0.009","1.97","2.74","270",NA,"5","3915","4190","1105",NA,"135","250975","252235","2590","33","0.33","129190","49","23.1"
"103","ILLINOIS","SHELBYVILLE RESERVOIR","SHELBY MOULTRIE","1739",NA,"2729.9","44.52","5","19.6","131","166","424","1","0.062","0.019","3.29","4.16","37115","1380","15","145010","183520","108350","6630","640","3709835","3825455","63255","66","4.12","2982440","22","85.9"
